#,DOI,Year,Title,Abstract,"Score (0=exclude, 0.5=unsure, 1=include)"
1,10.1145/3565387.3565420,2022,MPSKT: Multi-head ProbSparse Self-Attention for Knowledge Tracing,"Over the past two years, COVID-19 has led to a widespread rise in online education, and knowledge tracing has been used on various educational platforms. However, most existing knowledge tracing models still suffer from long-term dependence. To address this problem, we propose a Multi-head ProbSparse Self-Attention for Knowledge Tracing(MPSKT). Firstly, the temporal convolutional network is used to encode the position information of the input sequence. Then, the Multi-head ProbSparse Self-Attention in the encoder and decoder blocks is used to capture the relationship between the input sequences, and the convolution and pooling layers in the encoder block are used to shorten the length of the input sequence, which greatly reduces the time complexity of the model and better solves the problem of long-term dependence of the model. Finally, experimental results on three public online education datasets demonstrate the effectiveness of our proposed model. © 2022 Association for Computing Machinery.",
2,10.3390/su15129427,2023,Multiple Learning Features-Enhanced Knowledge Tracing Based on Learner-Resource Response Channels,"Knowledge tracing is a crucial task that involves modeling learners' knowledge levels and predicting their future learning performance. However, traditional deep knowledge tracing approaches often overlook the intrinsic relationships among learning features, treating them equally and failing to align with real learning scenarios. To address these issues, this paper proposes the multiple learning features, enhanced knowledge tracing (MLFKT) framework. Firstly, we construct learner-resource response (LRR) channels based on psychometric theory, establishing stronger intrinsic connections among learning features and overcoming the limitations of the item response theory. Secondly, we leverage stacked auto-encoders to extract low-dimensional embeddings for different LRR channels with denser representations. Thirdly, considering the varying impact of different LRR channels on learning performance, we introduce an attention mechanism to assign distinct weights to each channel. Finally, to address the challenges of memory retention and forgetting in the learning process and to handle long-term dependency issues, we employ a bidirectional long short-term memory network to model learners' knowledge states, enabling accurate prediction of learning performance. Through extensive experiments on two real datasets, we demonstrate the effectiveness of our proposed MLFKT approach, which outperforms six traditional methods. The newly proposed method can enhance educational sustainability by improving the diagnosis of learners' self-cognitive structures and by empowering teachers to intervene and personalize their teaching accordingly.",
3,10.1016/j.neucom.2020.05.035,2020,Incorporating uncertainties in student response modeling by loss function regularization,"Most existing research works involving deep learning focus on performance improvement by developing new architectures or regularizers. However, in this paper we study the modeling of uncertainty in recurrent networks for the application of student response modeling, more specifically, knowledge tracing. Knowledge tracing is an application of time series machine learning. It consists of inferring the mastery level of a skill for a student as they navigate a question bank, thus adjusting curriculum for efficient learning. Deep Knowledge Tracing (DKT) takes the deep learning approach for knowledge tracing and has achieved better results than models like Bayesian Knowledge Tracing (BKT) and Performance Factor Analysis (PFA). However, the opaqueness of these deep knowledge tracing models also brings some criticisms. Providing an uncertainty score for each prediction helps mitigate this opaqueness. To investigate uncertainty modeling in DKT, we first examine a popular way of modeling data dependent uncertainties using Monte Carlo and show how it is insufficient to model variance in data. Second, we show how to incorporate sensible uncertainties by explicitly regularizing the cross entropy loss function. Third, we evaluate our method both in three different real datasets and in a more controlled way using synthetic data. Using synthetic data allows us to quantitatively understand the generated uncertainties. The results show that our method provides comparable results with standard deep knowledge tracing models as well as meaningful prediction uncertainties. (C) 2020 Elsevier B.V. All rights reserved.",
4,10.1109/ICENCO49852.2021.9698953,2021,Bayesian Knowledge Tracing for Assessment Results Analysis,"In this paper, A Bayesian Knowledge Tracing model is utilised to perform analysis on assessment results to get human-free feedback on the quality of the questions of the assessment. The model is built and trained using PyBKT on the National Coding Competition 2018 records. The technique uses guess and slip parameters of the model to perform the analysis process. The details of the recorded data analysis, the assumptions made to build the model, the training and the validation, and the obtained results are all discussed. The method was proven to help detect problems in the given questions.",
5,10.1109/CCAI61966.2024.10602966,2024,A Confusion-Enhanced Deep Learning Model for Knowledge Tracing,"Knowledge tracing (KT) refers to the task of tracing the changing knowledge state of learners and predicting their future performance through their learning records. It is the core of computer assisted adaptive cognitive learning. Existing KT research uses deep learning methods to explore the relationship between concepts and problems, which improves prediction performance. However, few models apply educational psychology theories. Guiding students to learn through educational psychology theories is also important in the process of learning, which is an important basis for distinguishing different students' knowledge state. To solve this problem, we propose a gated network with confusion analysis mechanism (CDKT) to predict the confusion level of learners and trace the knowledge state of learners during learning based on educational psychology theory. The proposed model can model the knowledge state of students through three gated network to adapt to the individual development of learners and individual differences after training. It can also predict students' performance in new exercise.",
6,10.1016/j.ins.2023.120032,2024,Question-response representation with dual-level contrastive learning for improving knowledge tracing,"Question-response representation (aka. embedding) lies at the core for knowledge tracing, which is pivotal to model students' evolving knowledge states for predicting their future performance. Existing efforts typically learn question-response representations in a supervised manner, thus inevitably neglecting to excavate implicit information existed in student-question concept connections and suffering from the issue of data sparsity due to rare student-question interactions. Inspired by the recent success of self-supervised learning, in this paper, we propose a Question -Response representation with dual-level Contrastive Learning (QRCL) for improving knowledge tracing, to address the aforementioned problems. Our approach comprehensively considers three types of views for obtaining question-response representations: the native fold views derived from native interaction between students and questions, the augmented fold views generated by contrastive augmentation with Singular Value Decomposition (SVD), and the co response relation views acquired by means of correlation among questions. By using delicately designed contrastive rules, Graph Neural Networks (GNNs) are adopted as backbone to encode the information from each view for better generating question-response representation. Extensive experimental results conducted on five datasets clearly show our proposed method has the capability in effectively predicting students' performances.",
7,10.1007/978-3-030-62005-9_22,2020,ADKT: Adaptive Deep Knowledge Tracing,"Deep Learning based Knowledge Tracing (DLKT) has been shown to outperform other methods due to its strong representational ability. However, DLKT models usually exist a common flaw that all learners share the same model with identical network parameters and hyper-parameters. The drawback of doing so is that the learned knowledge state for each learner is only affected by the specific learning sequence, but less reflect the personalized learning style for each learner. To tackle this problem, we proposes a novel framework, called Adaptive Deep Knowledge Tracing (ADKT), to directly introduce personalization into DLKT. The ADKT framework tries to retrain an adaptive model for each learner based on a pre-trained DLKT model and trace the knowledge states individually for each learner. To verify the effectiveness of ADKT, we further develop the ADKVMN (Adaptive Dynamic Key-Value Memory Network) model by combining the ADKT and the classic DKVMN, which has been widely referred as a state-of-the-art DLKT model. With extensive experiments on two popular benchmark datasets, including the ASSISTments2009 and ASSISTments2015 datasets, we empirically show that ADKVMN has superior predictive performance than DKVMN.",
8,10.1007/978-3-031-11647-6_54,2022,Contrastive Deep Knowledge Tracing,"Knowledge tracing (KT) aims to predict student performance on the next question according to historical records. Recently deep learning-based models for KT task successfully modeling student responses receive good prediction results of student performance. The student responses encoded as input of KT models use a one-hot encoding. We find that one-hot encoding represents student responses on different items related to the same concepts in completely different vectors. However, items related to the same concept have certain relationships in the real world so the student has a similar representation in these items. In this paper, we propose a new method named Contrastive Deep Knowledge Tracing (CDKT) for providing a reasonable representation of students. We evaluate our model using three public benchmark datasets and the experimental results demonstrate improvements over state-ofthe-art methods.",
9,10.1109/TALE52509.2021.9678661,2021,Improving Online Teaching Based on Knowledge Tracing Model,"During the hybrid teaching, knowledge tracing plays an important role in constructing adaptive teaching system. This study models the students' knowledge status by mining a large number of exercise records based on the improved dynamic key-value memory network (DKVMN), which is a knowledge tracing model with two external memory modules. Furthermore, the features of students' behavior are extracted to improve the prediction results of DKVMN. Since the model could depict the evolving knowledge state of students, the visualized results are displayed to both students and teachers. It could encourage students to learn the concepts that have not been mastered. On the other hand, it could help teachers to conduct teaching interventions on the high-risk students.",
10,10.1109/TCSS.2024.3452130,2024,Enhanced Knowledge Tracing With Learnable Filter,"The primary objective of knowledge tracing (KT) is to evaluate students' understanding and mastery of knowledge through their responses to exercises, which aids in predicting their future performance. Deep neural networks have been widely applied in the area of knowledge tracing and have demonstrated encouraging results. Nevertheless, in real-world scenarios, there is a substantial amount of noise in students' response records. These noises may amplify the inherent risk of overfitting in deep neural networks, leading to a decrease in model performance. To address these issues, we introduce a new model called filter knowledge tracing (FKT). This innovative model incorporates a learnable filter into KT to filter out noise information from students' exercise sequences. We redefine the input paradigm of the data, using learnable filters to perform filtering operations in its frequency domain representation space, effectively removing noise. Additionally, an attention module has been introduced in the FKT model to evaluate the impact of students' historical interactions on their current knowledge state. To validate our model, we conduct extensive experiments utilizing four publicly available datasets. The results demonstrate that FKT outperforms existing benchmarks, particularly on larger datasets, signifying an improvement in KT performance while effectively reducing the risk of overfitting.",
