#,DOI,Year,Title,"Score (0=exclude, 1=include)",Notes
1,10.1007/978-3-031-43427-3_32,2023,Graph-Enhanced Multi-Activity Knowledge Tracing,,
2,10.1007/978-3-030-52240-7_34,2020,Towards Interpretable Deep Learning Models for Knowledge Tracing,,
3,10.1145/3386527.3405945,2020,"Towards an Appropriate Query, Key, and Value Computation for Knowledge Tracing",,
4,10.1016/j.jksuci.2024.102224,2024,Quantum computing enhanced knowledge tracing: Personalized KT research for mitigating data sparsity,,
5,10.1007/s40593-022-00297-z,2023,Interpreting Deep Learning Models for Knowledge Tracing,,
6,10.1007/978-3-319-93846-2_65,2018,Deep Knowledge Tracing for Free-Form Student Code Progression,,
7,10.1007/978-3-319-67615-9_10,2017,Neural Knowledge Tracing,,
8,10.1145/2876034.2893397,2016,Personalized Adaptive Learning using Neural Networks,,
9,10.1016/j.jksuci.2024.102065,2024,Knowledge ontology enhanced model for explainable knowledge tracing,,
10,10.1016/j.eswa.2022.116670,2022,GameDKT: Deep knowledge tracing in educational games,,
11,10.1007/978-981-97-2259-4_30,2024,Improving Knowledge Tracing via Considering Students' Interaction Patterns,,
12,10.1007/978-3-031-63031-6_15,2024,LBKT: A LSTM BERT-Based Knowledge Tracing Model for Long-Sequence Data,,
13,,2021,Learning from Non-Assessed Resources: Deep Multi-Type Knowledge Tracing,,
14,10.1016/j.eswa.2021.116454,2022,Tracking knowledge proficiency of students with calibrated Q-matrix,,
15,10.1109/TCE.2024.3512004,2024,Memory-Driven Attentive Knowledge Tracing for Implicit Inter-Question Analysis,,
16,10.3390/su15129427,2023,Multiple Learning Features-Enhanced Knowledge Tracing Based on Learner-Resource Response Channels,,
17,10.1109/ICDM.2018.00156,2018,Deep Knowledge Tracing and Dynamic Student Classification for Knowledge Tracing,,
18,10.1145/3051457.3053976,2017,Incorporating Rich Features into Deep Knowledge Tracing,,
19,10.1016/j.knosys.2021.106819,2021,Time-and-Concept Enhanced Deep Multidimensional Item Response Theory for interpretable Knowledge Tracing,,
20,10.1016/j.compeleceng.2022.108179,2022,Time Interval Aware Self-Attention approach for Knowledge Tracing?,,
21,10.1145/3543507.3583866,2023,Enhancing Deep Knowledge Tracing with Auxiliary Tasks,,
22,10.1109/CSTE53634.2021.00022,2021,Learning Strategy Based on Deep Knowledge Tracing,,
23,10.1145/3529466.3529477,2022,A Novel Knowledge Tracing Model Based on Collaborative Multi-Head Attention,,
24,10.1109/PHM2022-London52454.2022.00074,2022,Research on Deep Knowledge Tracing Model Integrating Graph Attention Network,,
25,,2019,Concept-aware deep knowledge tracing and exercise recommendation in an online learning system,,
26,10.1016/j.ins.2022.12.075,2023,Self-supervised heterogeneous hypergraph network for knowledge tracing,,
27,10.1371/journal.pone.0295808,2023,Knowledge relation rank enhanced heterogeneous learning interaction modeling for neural graph forgetting knowledge tracing,,
28,10.1007/978-981-97-5615-5_36,2024,Interaction Sequence Temporal Convolutional Based Knowledge Tracing,,
29,10.1016/j.eswa.2023.120853,2023,Improving knowledge tracing via a heterogeneous information network enhanced by student interactions,,
30,10.1007/978-3-030-52240-7_66,2020,Learning from Interpretable Analysis: Attention-Based Knowledge Tracing,,
31,10.1145/3573051.3596183,2023,Efficient Transformer-based Knowledge Tracing for a Personalized Language Education Application,,
32,,2018,Modeling hint-taking behavior and knowledge state of students with multi-task learning,,
33,10.1007/978-3-030-60290-1_14,2020,Learning Ability Community for Personalized Knowledge Tracing,,
34,10.1016/j.knosys.2022.108274,2022,Bi-CLKT: Bi-Graph Contrastive Learning based Knowledge Tracing,,
35,10.1016/j.ins.2022.02.044,2022,Ability boosted knowledge tracing,,
36,10.1145/3674399.3674427,2024,Improving Knowledge Tracing via Considering Conceptual Structure and Individual Differences,,
37,10.1145/3488560.3498379,2022,AdaptKT: A Domain Adaptable Method for Knowledge Tracing,,
38,10.1145/3652583.3658030,2024,Discovering Multi-Relational Integration for Knowledge Tracing with Retentive Networks,,
39,10.3390/app12147188,2022,Deep Knowledge Tracing Based on Spatial and Temporal Representation Learning for Learning Performance Prediction,,
40,10.1145/3651671.3651763,2024,Global Feature-guided Knowledge Tracing,,
41,10.1109/ICDMW.2018.00055,2018,End-to-End Deep Knowledge Tracing by Learning Binary Question-Embedding,,
42,10.1155/2022/9153697,2022,NTM-Based Skill-Aware Knowledge Tracing for Conjunctive Skills,,
43,10.1007/s10489-022-04095-x,2023,An approach for combining multimodal fusion and neural architecture search applied to knowledge tracing,,
44,10.1109/ICASSP43922.2022.9746810,2022,Incremental Context Aware Attentive Knowledge Tracing,,
45,10.1016/j.eswa.2022.117681,2022,SGKT: Session graph-based knowledge tracing for student performance prediction,,
46,10.1007/s10489-021-02765-w,2022,Modeling knowledge proficiency using multi-hierarchical capsule graph neural network,,
47,10.1109/TLT.2023.3254544,2023,Dynamic Cognitive Diagnosis: An Educational Priors-Enhanced Deep Knowledge Tracing Perspective,,
48,10.1145/3652601,2024,ELAKT: Enhancing Locality for Attentive Knowledge Tracing,,
49,10.1109/ICME51207.2021.9428154,2021,INTEGRATING PERFORMANCE AND SIDE FACTORS INTO EMBEDDINGS FOR DEEP LEARNING-BASED KNOWLEDGE TRACING,,
50,10.1007/978-3-030-67658-2_18,2021,GIKT: A Graph-Based Interaction Model for Knowledge Tracing,,
51,10.1007/978-3-030-82136-4_26,2021,Attentional Neural Factorization Machines for Knowledge Tracing,,
52,,2022,Proximity-Based Educational Recommendations: A Multi-Objective Framework,,
