DOI,Year,Title,Abstract Note,Ekaterina's evaluation,Danial's evaluation
10.1016/j.ipm.2023.103620,2024,Improving the performance and explainability of knowledge tracing via Markov blanket,"Knowledge tracing predicts student knowledge acquisition states during learning. Traditional knowledge tracing methods suffer from poor prediction performance; however, recent studies have significantly improved prediction performance through the incorporation of deep neural networks. However, prediction results generated from deep knowledge tracing methods are typically difficult to explain. To solve this issue, a knowledge tracing model using Markov blankets was proposed to improve the interpretability of knowledge tracing. The proposed method uses the Markov blanket of the target variable as a subset of features and applies interpretable machine learning techniques to knowledge tracing. The results from the ablation experiments demonstrate that the feature subspace created by the Markov blanket is substantially effective for prediction. The proposed model also performs better than several other knowledge tracing models on two widely used datasets, i.e., Junyi and ASSISTments. Furthermore, the use of Markov blanket -based features provides high interpretability for predicting knowledge mastery states, elucidating the impact of these features on student knowledge acquisition. Moreover, this enables the use of previously considered low -correlation features, which may possess important latent causal relationships.",0,
10.1007/978-3-030-23207-8_56,2019,Deep Knowledge Tracing with Side Information,"Monitoring student knowledge states or skill acquisition levels known as knowledge tracing, is a fundamental part of intelligent tutoring systems. Despite its inherent challenges, recent deep neural networks based knowledge tracing models have achieved great success, which is largely from models' ability to learn sequential dependencies of questions in student exercise data. However, in addition to sequential information, questions inherently exhibit side relations, which can enrich our understandings about student knowledge states and has great potentials to advance knowledge tracing. Thus, in this paper, we exploit side relations to improve knowledge tracing and design a novel framework DTKS. The experimental results on real education data validate the effectiveness of the proposed framework and demonstrate the importance of side information in knowledge tracing.",1,
10.3233/WEB-210458,2021,Graph-based knowledge tracing: Modeling student proficiency using graph neural networks,"Recent advancements in computer-assisted learning systems have caused an increase in the research in knowledge tracing, wherein student performance is predicted over time. Student coursework can potentially be structured as a graph. Incorporating this graph-structured nature into a knowledge tracing model as a relational inductive bias can improve its performance; however, previous methods, such as deep knowledge tracing, did not consider such a latent graph structure. Inspired by the recent successes of graph neural networks (GNNs), we herein propose a GNN-based knowledge tracing method, i.e., graph-based knowledge tracing. Casting the knowledge structure as a graph enabled us to reformulate the knowledge tracing task as a time-series node-level classification problem in the GNN. As the knowledge graph structure is not explicitly provided in most cases, we propose various implementations of the graph structure. Empirical validations on two open datasets indicated that our method could potentially improve the prediction of student performance and demonstrated more interpretable predictions compared to those of the previous methods, without the requirement of any additional information.",1,
10.1007/978-3-030-52240-7_59,2020,Exercise Hierarchical Feature Enhanced Knowledge Tracing,"Knowledge tracing is a fundamental task in the computer-aid educational system. In this paper, we propose a hierarchical exercise feature enhanced knowledge tracing framework, which could enhance the ability of knowledge tracing by incorporating knowledge distribution, semantic features, and difficulty features from exercise text. Extensive experiments show the high performance of our framework.",1,
10.1109/ICDM.2018.00156,2018,Deep Knowledge Tracing and Dynamic Student Classification for Knowledge Tracing,"In Intelligent Tutoring System (ITS), tracing the student's knowledge state during learning has been studied for several decades in order to provide more supportive learning instructions. In this paper, we propose a novel model for knowledge tracing that i) captures students' learning ability and dynamically assigns students into distinct groups with similar ability at regular time intervals, and ii) combines this information with a Recurrent Neural Network architecture known as Deep Knowledge Tracing. Experimental results confirm that the proposed model is significantly better at predicting student performance than well known state-of-the-art techniques for student modelling.",1,
10.1007/s44196-023-00192-y,2023,An XGBoost-Based Knowledge Tracing Model,"The knowledge tracing (KT) model is an effective means to realize the personalization of online education using artificial intelligence methods. It can accurately evaluate the learning state of students and conduct personalized instruction according to the characteristics of different students. However, the current knowledge tracing models still have problems of inaccurate prediction results and poor features utilization. The study applies XGBoost algorithm to knowledge tracing model to improve the prediction performance. In addition, the model also effectively handles the multi-skill problem in the knowledge tracing model by adding the features of problem and knowledge skills. Experimental results show that the best AUC value of the XGBoost-based knowledge tracing model can reach 0.9855 using multiple features. Furthermore, compared with previous knowledge tracing models used deep learning, the model saves more training time.",0.5,0
10.1109/ICDM.2018.00019,2018,Prerequisite-Driven Deep Knowledge Tracing,"Knowledge tracing serves as the key technique in the computer supported education environment (e.g., intelligent tutoring systems) to model student's knowledge states. While the Bayesian knowledge tracing and deep knowledge tracing models have been developed, the sparseness of student's exercise data still limits knowledge tracing's performance and applications. In order to address this issue, we advocate for and propose to incorporate the knowledge structure information, especially the prerequisite relations between pedagogical concepts, into the knowledge tracing model. Specifically, by considering how students master pedagogical concepts and their prerequisites, we model prerequisite concept pairs as ordering pairs. With a proper mathematical formulation, this property can be utilized as constraints in designing knowledge tracing model. As a result, the obtained model can have a better performance on student concept mastery prediction. In order to evaluate this model, we test it on five different real world datasets, and the experimental results show that the proposed model achieves a significant performance improvement by comparing with three knowledge tracing models.",1,
,2023,Deep Knowledge Tracing is an Implicit Dynamic Multidimensional Item Response Theory Model,"Knowledge tracing consists in predicting the performance of some students on new questions given their performance on previous questions, and can be a prior step to optimizing assessment and learning. Deep knowledge tracing (DKT) is a competitive model for knowledge tracing relying on recurrent neural networks, even if some simpler models may match its performance. However, little is known about why DKT works so well. In this paper, we frame deep knowledge tracing as a encoderdecoder architecture. This viewpoint not only allows us to propose better models in terms of performance, simplicity or expressivity but also opens up promising avenues for future research directions. In particular, we show on several small and large datasets that a simpler decoder, with possibly fewer parameters than the one used by DKT, can predict student performance better.",1,
10.1007/978-3-030-78270-2_20,2021,Incorporating Item Response Theory into Knowledge Tracing,"The popularity of artificial neural networks has brought high predictive power to many difficult machine learning problems. Knowledge tracing (KT), the task of tracking students' understanding of various concepts over time, is included in this category. But the deep learning methods which have performed best in knowledge tracing are hard to explain in a statistical sense. In this work, we leverage the psychological theory from Item Response Theory (IRT) to build interpretable neural networks for knowledge tracing which are competitive with other deep learning methods. This presents a trade-off between a small loss in predictive power and an increase in interpretability. The advantage of IRT-inspired knowledge tracing is that it transforms the high-dimensional student ability representation from deep learning models into an explainable IRT representation at each timestep. Further, the item parameters from IRT models can be directly recovered from the trained neural network weights.",1,
10.1007/978-3-030-55130-8_9,2020,Attention-Based Knowledge Tracing with Heterogeneous Information Network Embedding,"Knowledge tracing is a key area of research contributing to personalized education. In recent times, deep knowledge tracing has achieved great success. However, the sparsity of students' practice data still limits the performance and application of knowledge tracing. An additional complication is that the contribution of the answer record to the current knowledge state is different at each time step. To solve these problems, we propose Attention-based Knowledge Tracing with Heterogeneous Information Network Embedding (AKTHE). First, we describe questions and their attributes with a heterogeneous information network and generate meaningful node embeddings. Second, we capture the relevance of historical data to the current state by using attention mechanism. Experimental results on four benchmark datasets verify the superiority of our method for knowledge tracing.",1,
