DOI,Year,Title,Ciatations count,Comment,Ektrna's evaluation,Daniel's evaluation,Notes,Column 1
10.1145/3038912.3052580,2017,Dynamic Key-Value Memory Networks for Knowledge Tracing,291,,1,0,EC5 not peer reviewed ,0
10.1109/TKDE.2019.2924374,2021,EKT: Exercise-Aware Knowledge Tracing for Student Performance Prediction,168,,1,1,,
10.1145/3394486.3403282,2020,Context-Aware Attentive Knowledge Tracing,127,,,1,,
10.1016/j.knosys.2022.108274,2022,Bi-CLKT: Bi-Graph Contrastive Learning based Knowledge Tracing,116,,,0,EC6,
10.1016/j.ins.2021.08.100,2021,JKT: A joint graph convolutional network based Deep Knowledge Tracing,112,,,1,,
10.1145/3308558.3313565,2019,Augmenting Knowledge Tracing by Considering Forgetting Behavior,88,,,0,EC6,
10.1109/ICDM.2018.00019,2018,Prerequisite-Driven Deep Knowledge Tracing,79,,,0,EC6,
10.1145/3331184.3331195,2019,Knowledge Tracing with Sequential Key-Value Memory Networks,65,,,0.5,check later again,
10.1145/3386527.3405945,2020,"Towards an Appropriate Query, Key, and Value Computation for Knowledge Tracing",59,,,0,EC5 short paper,
10.1145/3051457.3053976,2017,Incorporating Rich Features into Deep Knowledge Tracing,58,,,0,EC5 short paper,
10.1109/ICDM.2018.00156,2018,Deep Knowledge Tracing and Dynamic Student Classification for Knowledge Tracing,57,,,0,EC6,
10.1145/3397271.3401288,2020,Convolutional Knowledge Tracing: Modeling Individualization in Student Learning Process,47,,,0,EC5 short paper,
10.1016/j.ins.2020.03.014,2020,Knowledge modeling via contextualized representations for LSTM-based personalized exercise recommendation,45,,,0.5,,
10.1007/978-3-030-67658-2_18,2021,GIKT: A Graph-Based Interaction Model for Knowledge Tracing,41,,,0,EC6,
10.1145/3448139.3448188,2021,SAINT plus : Integrating Temporal Features for EdNet Correctness Prediction,39,,,0,EC5 short paper,
10.1145/3447548.3467237,2021,Learning Process-consistent Knowledge Tracing,35,,,1,,
10.1007/s12559-017-9522-0,2018,Implicit Heterogeneous Features Embedding in Deep Knowledge Tracing,34,,,1,,
10.1145/3404835.3462827,2021,Tracing Knowledge State with Individual Cognition and Acquisition Estimation,25,,,0,EC6,
10.1016/j.knosys.2020.106481,2020,Exercise recommendation based on knowledge concept prediction,25,,,0,EC6,
10.1145/3437963.3441802,2021,Temporal cross-effects in knowledge tracing,24,,,0,EC6,
10.1145/3303772.3303786,2019,Knowledge Query Network for Knowledge Tracing,23,,,1,,
10.1007/978-3-030-23207-8_56,2019,Deep Knowledge Tracing with Side Information,22,,,0,"EC5, EC6",
10.1016/j.ins.2020.04.043,2020,Exam paper generation based on performance prediction of student group,22,,,0.5,,
10.1109/ACCESS.2020.3033200,2020,Multiple Features Fusion Attention Mechanism Enhanced Deep Knowledge Tracing for Student Performance Prediction,19,,,0,EC6,
10.1016/j.eswa.2021.116454,2022,Tracking knowledge proficiency of students with calibrated Q-matrix,19,,,1,,
10.1016/j.knosys.2021.106819,2021,Time-and-Concept Enhanced Deep Multidimensional Item Response Theory for interpretable Knowledge Tracing,17,,,0,EC6,
10.1016/j.eswa.2022.117681,2022,SGKT: Session graph-based knowledge tracing for student performance prediction,16,,,1,,
10.1002/int.22763,2022,Knowledge structure enhanced graph representation learning model for attentive knowledge tracing,16,,,1,comparing DKT models (good for later),
10.1016/j.eswa.2022.116670,2022,GameDKT: Deep knowledge tracing in educational games,15,,,1,?,
10.1007/978-3-030-52240-7_46,2020,Deep Knowledge Tracing with Transformers,14,,,0,"EC4, EC5, EC6",
10.1007/978-3-030-52240-7_34,2020,Towards Interpretable Deep Learning Models for Knowledge Tracing,12,,,0,"EC4, EC5",
10.1145/3488560.3498374,2022,Improving Knowledge Tracing with Collaborative Information,12,,,1,,
10.1145/3474085.3475554,2021,Enhancing Knowledge Tracing via Adversarial Training,12,,,1,,
10.1016/j.neucom.2022.02.080,2022,Knowledge interaction enhanced sequential modeling for interpretable learner knowledge diagnosis in intelligent tutoring systems,12,,,1,,
10.1145/3485447.3512105,2022,Contrastive Learning for Knowledge Tracing,11,,,0,EC6,
10.1109/TLT.2022.3196355,2022,CMKT: Concept Map Driven Knowledge Tracing,11,,,0,EC6,
10.1145/3459637.3482372,2021,Multi-Factors Aware Dual-Attentional Knowledge Tracing,11,,,0,EC6,
10.1145/2876034.2893397,2016,Personalized Adaptive Learning using Neural Networks,11,Short paper,,0,EC5,
10.1109/ICCC47050.2019.9064104,2019,Learning Path Recommendation Based on Knowledge Tracing Model and Reinforcement Learning,10,,,0,EC6,
10.1016/j.neucom.2020.05.035,2020,Incorporating uncertainties in student response modeling by loss function regularization,9,,,0,EC6,
10.1109/TKDE.2022.3206447,2023,Deep Graph Memory Networks for Forgetting-Robust Knowledge Tracing,9,,,1,,
10.3390/app12147188,2022,Deep Knowledge Tracing Based on Spatial and Temporal Representation Learning for Learning Performance Prediction,9,,,0,EC6,
10.1016/j.ins.2022.02.044,2022,Ability boosted knowledge tracing,9,,,1,,
10.1145/3477495.3531939,2022,Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,9,,,1,,
10.1109/TCYB.2021.3051028,2022,Dynamic Key-Value Memory Networks With Rich Features for Knowledge Tracing,9,,,0.5,"we must check paper that has ""Key-Value Memory"" in their title and if results are similar, we can exclude with EC5",
10.1016/j.eswa.2022.119334,2023,HHSKT: A learner-question interactions based heterogeneous graph neural network model for knowledge tracing,8,,,0,EC6,
10.1007/978-3-319-70096-0_67,2017,Heterogeneous Features Integration in Deep Knowledge Tracing,8,,,0,EC5 similar to paper 18,
10.1007/s11280-022-01041-2,2022,Multi-type factors representation learning for deep learning-based knowledge tracing,8,,,0,EC6,
10.1109/TLT.2020.3032980,2020,Knowledge Tracing Within Single Programming Practice Using Problem-Solving Process Data,8,,,0,EC6,
10.1145/3321408.3322847,2019,Muti-behavior features based knowledge tracking using decision tree improved DKVMN,8,,,0.5,similar to 18 (CART),
10.1145/3386527.3406739,2020,Interpretable Personalized Knowledge Tracing and Next Learning Activity Recommendation,8,,,0,EC5,
10.1007/978-3-030-55130-8_9,2020,Attention-Based Knowledge Tracing with Heterogeneous Information Network Embedding,7,,,0,EC6,
10.1016/j.ins.2022.12.075,2023,Self-supervised heterogeneous hypergraph network for knowledge tracing,7,,,0,EC6,
10.18653/v1/W18-0545,2018,Deep factorization machines for knowledge tracing,7,,,0,EC5,
