,DOI,Year,Paper title,Authors,Country,Pub. type (confernce/journal),Pub. veune,keywords,objectives,Ethical concerns (anything in the paper discussing the use of ethic frameworks to prepare their data and model),Underlying theories used,Materials and Methods,,,,Evaluation,,RQ2 (data biases): bias-inconsistenc-spars-imbalanc-,Q3 (evaluate the sequential stability),Q4 (interpretability),Limitations,Challenge and future directions,Note
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Method (algorithms),Participants (sample) and dataset,Field of study,Input features,Validation method,Metrics,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,
1,10.1109/TKDE.2019.2924374,2019,EKT: Exercise-Aware Knowledge Tracing for Student Performance Prediction,"Q Liu, Z Huang, Y Yin, E Chen, H Xiong, Y Su, G Hu",China,Journal ,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"Intelligent education, knowledge tracing, exercise content, knowledge concept",we present a holistic study of student performance prediction,No,"Markov Property. Although “Markov property” is often discussed in mathematics/statistics, it is also widely treated as a behavioral or cognitive modeling assumption in education research (and more broadly in sequential decision‐making), namely, “the future depends only on the present, not on the past.”",bidirectional LSTM (recurrent neural network with Markov property),"The dataset supplied by iFLYTEK Co., Ltd. was collected
from Zhixue.com1 a widely-used online learning system,
which provided high school students with a large number of
exercise resources for exercising.
 5 million exercising records of 84,909 students and 15,045 exercises were remained.",Math,"-exercising records of students (tasks)
-knowledge concepts 
-exercise content","10-fold cross
validation ",AUC,"Addresses ""cold-start problem""

""That is, we have to make predictions for new students and new exercises. In this scenario, limited information could be exploited, and thus, leading to the poor prediction results.""","Qualitatively through heatmap (comparing two test data on the same skill/knowledge concept, one simpler and the other more difficult excercise)

Model works better for the longer sequences and in shorter sequences it may misclassify. 

when she answers an exercise right (wrong), her knowledge state on the corresponding concept increases (decreases), e.g., she acquires knowledge on “Set” after she solves an exercise of “Set” concept at her second exercising step. However, there exists an inconsistent phenomenon that her mastery level of “Function” becomes slightly lower at the
third exercising step even she answers the exercise correctly. This is because the model may not perfectly track the student with only few exercising records at the beginning, but it could get better performance if the student’s exercising records are getting longer enough in the following steps.",No ,-,-,Manually reviewed with Danial
2,10.1145/3394486.3403282,2020,Context-Aware Attentive Knowledge Tracing,"Ghosh, A., Heffernan, N., Lan, A. S., Balapriya, C.",USA,Conference,KDD '20: Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,"Attentive Knowledge Tracing, Context-Aware Modeling, Monotonic Attention Mechanism, Rasch Model-Based Embeddings, Interpretability","we propose attentive knowledge tracing (AKT), which couples flexible attention-based neural network models with a series of novel, interpretable model components inspired by cognitive and psychometric models",No,Item-responce theory,"Attentive Knowledge Tracing (AKT), Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Networks (DKVMN), Self-Attentive Knowledge Tracing (SAKT), DKT+, DKVMN-R","ASSISTments2009, ASSISTments2015, ASSISTments2017, and Statics2011
Statics2011 has 333 learners, ASSISTments2017 has 1,709 learners, ASSISTments2015 has 19,840 learners, ASSISTments2009 has 4, 151 learners","Math, Engineering","Real-valued embedding vectors representing questions and question-response pairs, including Rasch model-based embeddings, are used as input features. These embeddings are transformed into context-aware representations by self-attentive encoders.","5-fold cross-validation
where each fold splits the learners into 60% training, 20% validation, and 20% test",AUC,No,"Uses heatmaps to visualize attention weights in the AKT model, showing how past responses influence current predictions.

""We see that AKT predicts their response to the current question by focusing more on previous practices on this concept (both in the immediate past and further back) than practices on another concept also in the immediate past""",No ,-,i) incorporating question text to further enhance the interpretability of question and concept embeddings and ii) testing whether our method can improve prediction performance on language learning datasets where memory decay occurs.,
3,10.3390/app13042541,2023,Calibrated Q-Matrix-Enhanced Deep Knowledge Tracing with Relational Attention Mechanism,Linqing Li; Zhifeng Wang; M Pinnow; A Ball; B Pniewski; M Holtmann,China,Journal ,Applied Sciences,knowledge tracing; attention mechanism; relation modeling; calibrated Q-matrix,"the paper’s objective is to develop an enhanced deep knowledge tracing model that leverages relational attention and a calibrated Q-matrix to improve the accuracy and interpretability of student proficiency prediction

""we propose a novel relational attention knowledge tracing (RAKT) to track the students’ knowledge proficiency in exercises""",NO,"the forgetting curve theory, item response theory","“a knowledge tracing method called the relational attention knowledge tracing model (RAKT)”, “an extension model of RAKT is called the Calibrated Q-matrix relational attention knowledge tracing model (QRAKT)”, and describe “Algorithm: Hierarchical knowledge-level-based calibration method (HKLQC)” ","ASSIST2012: 39,364 participants
Eedi: 2064",Math,"The input features for the model include exercise-related information, student responses (correct or incorrect), time of interaction, and corresponding knowledge vectors. These are structured as tuples for each interaction: (exercise attempted, response, time).","The dataset is split into training and testing phases, training with binary cross-entropy.","AUC, ACC",No,"They present it via heatmaps

""Compared with the DKT model, the DKT+ model as the extension of the DKT model solved the reconstruction problem and the wavy transition problem in the DKT model to track the student’s mastery level.""",No ,The second limitation is that this work only considered the hierarchical levels of knowledge concepts. The deeper relationship of knowledge concepts such as relevance or belonging was not considered.,"However, the QRAKT model and the RAKT model still have some limitations. The first limitation is that the QRAKT model and the RAKT model only consider the relationship between exercises and knowledge concepts. However, the relationship between students, exercise, and skills is ignored.",
4,10.3233/WEB-210458,2019,Graph-based knowledge tracing: Modeling student proficiency using graph neural networks,Hiromi Nakagawa; Yusuke Iwasawa; Yutaka Matsuo,Japan,Conference,ICLR,"Knowledge tracing, graph neural network, educational data mining, learning sciences","""show that knowledge tracing can be reformulated as an application of GNN,"" ""propose various methods to implement the graph structure,"" and ""demonstrate that the proposed method results in more accurate and interpretable predictions than the previous deep learning-based methods,""",NO,Knowledge Tracing,"""Dense Graph,"" ""Transition Graph,"" ""DKT Graph,"" ""Parametric Adjacency Matrix (PAM),"" ""Multi-head Attention (MHA),"" and ""Variational Autoencoder (VAE).","ASSISTments 2009-2010,
“KDDCup”
2,000 participants across both datasets",Math,uples representing the answered exercises and their correctnes,training:validation:test = 8:1:1,AUC,No,"Heatmaps.

""we can see that GKT clearly updates the knowledge state of related concepts only, although DKT updates that of all the concepts indistinctly and cannot model the change in related concepts.""",No ,-,possibility of its application to real educational knowledge tracing environment,
5,10.1016/j.eswa.2023.123128,2024,Learning consistent representations with temporal and causal enhancement for knowledge tracing,Changqin Huang; Hangjie Wei; Qionghao Huang; Fan Jiang; Zhongmei Han; Xiaodi Huang,China,Journal ,Expert Systems With Applications,Knowledge tracing; Causal inference; Front-door adjustment; Attention mechanism; Time-series modeling,proposes a new approach called Temporal- and Causal-enhanced Knowledge Tracing to improve the consistency of students’ knowledge state representations in intelligent educational systems.,no,learning curve theory and forgetting curve theory,"Temporal-and Causal-enhanced Knowledge Tracing (TCKT), Causal Self-Attention (CSAT) module, Learning Behavior Simulation module, Normalized Weighted Geometric Mean (NWGM), K-Means clustering algorithm","ASSIST2012, ASSISTChall, and EdNet-KT1

No participants number mentioned",Not mentioned,"questions, knowledge concepts, answers, and difficulty of questions",5-fold cross-validation,"AUC, ACC, RMSE","The paper states: ""In this view, the bias of students’ learning data can be attributed to the presence of a confounder - a common cause of the independent variable 𝑋 and the dependent variable 𝑌, which establishes a spurious correlation between 𝑋 and 𝑌 (Glymour, Pearl, & Jewell, 2016)."" To address this issue, the authors propose a new method: ""To address the aforementioned issues in existing KT models, we propose a novel Temporal- and Causal-enhanced Knowledge Tracing method (TCKT) that can learn more consistent representations of students’ knowledge states. To achieve this, we incorporate the front-door adjustment method from the causal inference theory into the self-attention mechanism of our model. This adjustment method helps to eliminate the influence of data bias and identify more reasonable...""","They provide Fig. (7) of fluctations, showing that their model make it less fluctatious: ""our proposed TCKT does not cause the knowledge state to fluctuate dramatically due to incorrect answers, indicating that it has more advantages in maintaining cognitive consistency""

They also claim their model able to trace implicit associations between concepts:
""after students answer the questions corresponding to a specific concept, not only will this concept’s knowledge state be improved, but the other concepts’ knowledge state with the implicit association will also be improved to varying degrees.""",No ,"First, the global dictionary obtained through clustering in TCKT exhibits varying degrees of discrimination, leading to occasional shifts in learning abilities. Secondly, the simulation of learning ability is constructed based on the existing concept matrix, where the relationships between questions and concepts are simplified.","collect the actual composition ratios of each concept relevant to the question and construct a more realistic global dictionary to achieve smoother transitions. Additionally, we will consider using graph embedding instead of a simple concept matrix to discover the interactions associated with abnormal behaviors and the intricate interconnections among concepts and questions.","goes deep into data bias, floor/ceiling (but does not name it like that)

front-door adjustment theory, which improves interaction representation and reduces prediction errors caused by dataset bias. "
6,10.3390/app14177952,2024,Knowledge Graph and Personalized Answer Sequences for Programming Knowledge Tracing,Jianguo Pan; Zhengyang Dong; Lijun Yan; Xia Cai,China,journal,APPLIED SCIENCES-BASEL,knowledge graph; programming learning; variational autoencoder; knowledge tracing; LSTM,"to enhance programming knowledge tracing by constructing a domain‐specific knowledge graph for more accurate exercise representation, modeling individualized learning via personalized answer sequences, incorporating student ability estimation, and unifying these elements in a deep learning framework for improved predictive performance.",no,Item Response Theory (IRT),"Variational Autoencoders (VAE), Long Short-Term Memory (LSTM) networks, attention mechanisms, RotatE model, RotatE-TA extension, gating mechanism",- **Luogu dataset:** 2081 students - **Codeforces dataset:** 1685 students,Programming,"a student’s multiple answers to a specific exercise

knowledge concepts, and exercises, all represented as discrete character-type data.",split each dataset into an 80% training set and a 20% test set,"AUC, ACC",No,"They present heatmaps which are showing how the model

""exercises where the student initially answered incorrectly and then correctly after multiple
attempts, the gradient of the values reflects the student’s gradually improving mastery
of the exercise throughout the answer sequence""",No ,-,"integrate recommendation algorithms to more accurately suggest exercises and learning materials to students, aiming to achieve intelligent and adaptive programming learning",
7,10.3390/app14198927,2024,Bridging the Vocabulary Gap: Using Side Information for Deep Knowledge Tracing,Haoxin Xu; Jiaqi Yin; Changyong Qi; Xiaoqing Gu; Bo Jiang; Longwei Zheng,China,journal,APPLIED SCIENCES-BASEL,knowledge tracing; vocabulary gap; side information; deep knowledge tracing,enabling the model to generalize to new datasets without retraining,no,Item Response Theory (IRT),"Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Networks (DKVMNs), Self-Attentive Knowledge Tracing (SAKT), Separated Self-Attentive Neural Knowledge Tracing (SAINT), Transformer-based architecture, SIKT model with side information, Adam optimizer, binary cross-entropy with logit loss","- ""A09: 8093"" - ""A12: 29,018"" - ""EN: 385,188"" - ""Junyi: 19,323"" - ""Eedi: 20,000""","Math, English","Student-knowledge correct rate, student-knowledge average time, student-knowledge attempts, time since last knowledge attempt, student overall correct rate, student overall average time, student total attempts, time since last question, knowledge correct rate, knowledge average time, knowledge total attempts, question correct rate, question average time, question total attempts.",train/test split,AUC,"""To process the sparse data, the one-hot encoding data will be reduced to
low-dimensional representation through embedding""",No,"They explicitly note that they employ SHAP for feature-level interpretability (“the importance and contribution of each feature”), meaning they examine how each input feature pushes the prediction higher or lower.

They stress how these per-sample SHAP explanations enable understanding of why the model predicts a certain way for each question—giving teachers or systems a process-level view (“the journey”), rather than merely a final probability of skill mastery.",-,future work could involve the inclusion of more diverse datasets from different sources,
