ID,DOI,Year,Title,Authors,Country,Venue,Input features,Method,dataset,Input features.1,Metrics,Q2,Q3,Q4,Category
1,,2024,A Genetic Causal Explainer for Deep Knowledge Tracing,Qing Li; Xin Yuan; Sannyuya Liu; Lu Gao; Tianyu Wei; Xiaoxuan Shen; Jianwen Sun,China,journal,"The input features are sequences of student observations, specifically interaction pairs consisting of questions and response answers, where each pair includes a question and an indicator of whether the student answered correctly.",Genetic Causal Explainer (GCE) based on Genetic Algorithm (GA),"Total: 9162
- ASSIST09: 4160
- EdNet: 5002","The input features are sequences of student observations, specifically interaction pairs consisting of questions and response answers, where each pair includes a question and an indicator of whether the student answered correctly.",AUC,No,No,The paper addresses interpretability by proposing a Genetic Causal Explainer (GCE) that provides post hoc explanations for DLKT models. It focuses on causal relationships between inputs and outputs to improve explanation fidelity,Hybrid/Meta
2,10.3389/fpsyg.2022.846621,2022,A Knowledge Query Network Model Based on Rasch Model Embedding for Personalized Online Learning,Yan Cheng; Gang Wu; Haifeng Zou; Pin Luo; Zhuang Cai,China,journal,"They use each learner�s time-stepped interaction tuple containing the question ID, the knowledge component covered by that question, and whether the learner answered correctly (a binary response).","They propose and implement the CAKQN approach (using LSTM-based encoding, a monotonic attention mechanism with exponential decay, Rasch model embedding, and a dot-product knowledge query) trained via backpropagation on cross-entropy loss with the Adam optimizer.","� ASSISTments2009 with 4,151 learners, � ASSISTments2015 with 19,840 learners, � ASSISTments2017 with 1,709 learners, � Statics2011 with 333 learners","They use each learner�s time-stepped interaction tuple containing the question ID, the knowledge component covered by that question, and whether the learner answered correctly (a binary response).",AUC,No,"Heatmaps: ""within ten time steps after the learner correctly answered the exercises
containing knowledge point 24 at the first time step, CAKQN-Rnl did not update the learner�s mastery of knowledge point 24, while CAKQN-R showed that the degree of learner�s mastery of knowledge point 24 has been declining. It can be seen that the CAKQN-Rnl model does not consider the learner�s forgetting behavior during the learning period""",No,Attentive
3,,2023,A novel framework for deep knowledge tracing via gating-controlled forgetting and learning mechanisms,Weizhong Zhao; Jun Xia; Xingpeng Jiang; Tingting He; QQ Zhao; KC Hou; WJ Yuan; XW Zhang; B Hu,China,journal,"1) Exercise embedding derived from Q-matrix, 2) Student response data (correct/incorrect), and 3) Current knowledge state","""GFLDKT (Gating-controlled Forgetting and Learning mechanisms for Deep Knowledge Tracing)""","junyiacademy: 238,120 students, 828 knowledge concepts, 26,666,117 responses ASSISTments2015: 19,840 students, 100 knowledge concepts, 683,801 responses ASSISTments2017: 1,709 students, 102 knowledge concepts, 942,816 responses Statics2011: 333 students, 1,223 knowledge concepts, 189,297 responses","1) Exercise embedding derived from Q-matrix, 2) Student response data (correct/incorrect), and 3) Current knowledge state","""the Area Under the Curve (AUC) and Accuracy (ACC) are used as evaluation metrics in experiments""","""There are two clear limitations for the Q-matrix: (1). it is marked manually and highly subjective, which may contain errors or subjective bias; (2). it is very sparse, which poses a great challenge for training deep learning-based models.""","Heatmap: ""although both __1 and __2 provide wrong answers to the exercise __2 (which is associated with the KC ��Segments and Angles��), the knowledge state on the KC ��Segments and Angles�� of __1 does not change significantly while the mastery of the KC ��Segments and Angles�� of __2 decreases clearly. The main reason is that for outstanding students (e.g. __1), they can even learn knowledge concepts from errors they made. However, for the average students, the negative responses suggest that they need to improve their mastery on certain knowledge concepts.""",No,Attentive
4,,2024,A probabilistic generative model for tracking multi-knowledge concept mastery probability,Hengyu Liu; Tiancheng Zhang; Fan Li; Minghe Yu; Ge Yu,China,journal,"Student exercise logs (including problem submissions, submission times, and results), Q-matrix (indicating problem-concept relationships), distributed representations of students, knowledge concepts, and problems, and exercise embeddings derived from these elements.","TRACED model, LSTM-based networks, heuristic algorithm for joint training, Wake Phase, Sleep Phase","total: 16,823 - HDU: 9,859 - POJ: 3,507 - algebra06: 1,072 - algebra08: 2,385","Student exercise logs (including problem submissions, submission times, and results), Q-matrix (indicating problem-concept relationships), distributed representations of students, knowledge concepts, and problems, and exercise embeddings derived from these elements.","The evaluation metrics include Mean Absolute Error (MAE) and Root Mean Square Error (RMSE) for regression tasks, and Area Under the Receiver Operating Characteristic Curve (AUC), Accuracy (ACC), Precision (PRE), and Recall (REC) for classification tasks.","To overcome this (sparsity) problem, we sample 2 negative samples for each positive sample, following the negative sampling approach proposed in [42]","Heatmaps: ""With the increase of the number of exercises, the prior and posterior probability of students mastering knowledge concepts are also steadily improving. The continuous and slow changes in the prior and posterior probabilities are consistent with our empirical understanding of the learning process.""",No,Graph-Based
5,,2024,A Question-centric Multi-experts Contrastive Learning Framework for Improving the Accuracy and Interpretability of Deep Sequential Knowledge Tracing Models,Hengyuan Zhang; Zitao Liu; Chenming Shang; Dawei Li; Yong Jiang,China,journal,Sequences of questions and asnwers,"IRT and LSTM

DKT,DKT+,DKT-F,�DKVMN,�ATKT,�GKT,�SAKT,�SAINT,�AKT,�SKVMN,�DeepIRT,�qDKT,AT-DKT,�SimpleKT","- ASSIST2009
- Algebra2005
- NIPS34: 
- EdNet:",Sequences of questions and asnwers,"AUC, Accuracy",No,"we observe that: (1) the estimated knowledge acquisition state of _2 decreases quite a bit when the student mistakenly answers the questions that contain the KC C2 twice (e.g., questions 5 and 8). (2) On the other hand, the student gives the right answers to the questions (questions 22, 26, and 31) which are related to the KC C3, hence the knowledge acquisition of KC C3 is constantly increasing. (3) As the student practices more questions, the knowledge acquisition state estimations become much more stable and after finishing all these 50 questions, the model is confident that the student has acquired the KCs C1, C3, and C5.","Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap",Attentive
6,,2022,Ability boosted knowledge tracing,Sannyuya Liu; Jianwei Yu; Qing Li; Ruxia Liang; Yunhan Zhang; Xiaoxuan Shen; Jianwen Sun,China,journal,Sequences of questions and asnwers,"Matrix factorization, Graph neural networks

PFA, IRT, DKT, DHKT, KTM, SAINT, AKT, ABKT-A and ABKT-M","AICFE, ASSISTment09",Sequences of questions and asnwers,"ACC,AUC",No,"in the ABKT model, the simulation curves of the students� degree of knowledge mastery are more intuitive and readable. ABKT curves are more directional, intuitively revealing the changing trend of the learners� knowledge
mastery degree over time",No process-level interpretability,Graph-Based
7,,2022,AdaptKT: A Domain Adaptable Method for Knowledge Tracing,Song Cheng; Qi Liu; Enhong Chen; Kai Zhang; Zhenya Huang; Yu Yin; Xiaoqing Huang; Yu Su,China,conference,"question texts processed through an auto-encoder, student interaction sequences, student response data (rt), and slipping and guessing factors derived from question semantics.","Adaptable Knowledge Tracing (AdaptKT) with Bi-directional LSTM, LSTM, Maximum Mean Discrepancy (MMD), Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Networks (DKVMN), and Word2Vec.","The paper used two private datasets (zx.math with 5,000 students and zx.physics with 5,000 students) and seven public datasets (Synthetic, Static2011, Kddcup2010, Junyi, ASSISTments2009, ASSISTments2015, ASSISTments2017) with students ranging from 333 to 50,000 across datasets","question texts processed through an auto-encoder, student interaction sequences, student response data (rt), and slipping and guessing factors derived from question semantics.","""area under the receiver operating characteristic (ROC) curve which is termed as AUC"" and ""F1 measure""","""To address the problem of lacking sufficient data, transfer learning technique [42, 43] develops fastly and has been widely applied in many areas [9, 13, 21]. The goal of the developed models is to transfer the latent representations obtained from a large labeled source dataset to a smaller unlabeled target dataset. Domain adaptation is a branch of transfer learning. One of the research directions of domain adaptation focuses on minimizing the discrepancy of certain feature distributions between the source and target domain. ""","Heatmaps: ""First, comparing the non-transferring and transferring results in each heatmap, we can easily see that the transferred result is more stable and the change is not dramatic, especially at the end, student�s knowledge state has no changes since he answers these questions correctly. """,No,Attentive
8,,2023,An Efficient and Generic Method for Interpreting Deep Learning based Knowledge Tracing Models,Deliang Wang; Yu Lu; Zhi Zhang; Penghe Chen,China,conference,Sequences of questions and asnwers,"RNN-based DKT,MANN-based DKVMN ,Attention-based AKT,GNN-based GKT,CNN-based CKT","ASSISTment2009 
ASSISTment2015",Sequences of questions and asnwers,AUC,No,No,"Simple generic XAI rule

We mainly analyze how the model input question-answer records influence the model output, i.e., the predictions on learners� future performance. In particular, we consider the effects of both the skill information (i.e., the specific skill being tested) and temporal information (i.e., when the exercise was completed) on the model�s decision.We selected correctly-predicted sequences and set the skill and position of the last record in each sequence as the target skill and prediction position. Then each question-answer record in the sequence was tagged as either Same skillor Different skillbased on whether its skill matched the target skill, and Recent(i.e., the first half QA records) and Distant(i.e., the second half QA records) based on its distance from the prediction position. This resulted in four groups (i.e., 2 _ 2): Distant & Same skill, Distant & Different skill, Recent & Same skill, and Recent & Different skill. For each group, the absolute relevance of each question-answer record was summed to compute the mean. We computed and compared the mean of four groups among all correctly-predicted sequences across the five DLKT models in the ASSISTment2009 and ASSISTment2015 datasets.(a) ASSISTment2009 (b) ASSISTment2015Figure 4.Skill-distance relevance comparison for RNN-based DKT.(a) ASSISTment2009 (b) ASSISTment20157
The results, shown in Figure 4, 5, 6, 7, and 8, indicate that for all five DLKT models, the recent-same-skill records (i.e., records that are close to the prediction position and on the target skill) have the highest relevance to the prediction, while those distant-different-skillrecords (i.e., records that are far from the prediction position and on non-target skills) have the lowest relevance.",Sequence Modeling
9,,2024,An efficient state-aware Coarse-Fine-Grained model for Knowledge Tracing,Huazheng Luo; Zhichang Zhang; Lingyun Cui; Ziqin Zhang; Yali Liang,China,journal,"Input features include exercise embeddings indexed by concept serial numbers, discrepancy, and difficulty levels; response embeddings with variations and prior features such as time spent and time intervals; and sequences processed in coarse-grained and fine-grained blocks for proficiency and experience estimation.","Coarse-Fine-Grained model for Knowledge Tracing (CFGKT), which includes a coarse-grained block, a fine-grained block, and a state-fusion attention mechanism.","- ASSIST15: 19,840 students
- ASSIST17: 1,709 students
- NIPS34: 6,147 students
- Junyi: 72,758 students","Input features include exercise embeddings indexed by concept serial numbers, discrepancy, and difficulty levels; response embeddings with variations and prior features such as time spent and time intervals; and sequences processed in coarse-grained and fine-grained blocks for proficiency and experience estimation.","AUC,  ACC, F1, RMSE",The paper addresses data bias by using a causal self-attention mechanism inspired by causal inference theory to eliminate prediction errors caused by data bias. It also considers overfitting issues related to data sparsity or imbalance by employing methods like sparseKT-soft and sparseKT-topK.,"exclusive proficiency fluctuates significantly due to the impact of individual exercise outcomes, which indicates the limitations of predicting based solely on students� superficial exercise mastery. However, with CFGKT, the student�s proficiency in __2 diminishes after incorrect responses at time steps 3 and 4, yet is managed at time step 7 because of the experience accumulated from correctly answering exercises related to __3 and __4.",No,Attentive
10,,2022,Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,Shuanghong Shen; Zhenya Huang; Qi Liu; Yu Su; Shijin Wang; Enhong Chen,China,conference,difficulty level of questions + Sequences of questions and asnwers,"Adaptive Sequential Neural Work

DKT [36] DKT+ [50] DKVMN [51] SAKT [30] CKT [39] PEBG [22] EKT [37] AKT [10] LPKT [38]","ASSIST2012,Eedi2020",difficulty level of questions + Sequences of questions and asnwers,"RMSE, AUC, ACC",No,"although student s1 got a wrong answer on the questions with KC of 55: Transformations and __ difculty of 0.56 and 0.43 at the beginning, DIMKT successfully predicts that s1 can correctly answer the question with the same KC of 55: Transformations and __ difculty of 0.26 because the latter question is easier. Besides, even s1 has got right answers on questions with KC of 68: Density and __ difculty of 0.14, 0.09, and 0.13, DIMKT successfully predicts that s1 would not pass the question with the same KC but harder __ difculty of 0.73. Similarly, for student s2, the predictions of DIMKT indicate the same interpretability.",No process-level interpretability,Hybrid/Meta
11,10.3390/app14198927,2024,Bridging the Vocabulary Gap: Using Side Information for Deep Knowledge Tracing,Haoxin Xu; Jiaqi Yin; Changyong Qi; Xiaoqing Gu; Bo Jiang; Longwei Zheng,China,journal,"Student-knowledge correct rate, student-knowledge average time, student-knowledge attempts, time since last knowledge attempt, student overall correct rate, student overall average time, student total attempts, time since last question, knowledge correct rate, knowledge average time, knowledge total attempts, question correct rate, question average time, question total attempts.","Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Networks (DKVMNs), Self-Attentive Knowledge Tracing (SAKT), Separated Self-Attentive Neural Knowledge Tracing (SAINT), Transformer-based architecture, SIKT model with side information, Adam optimizer, binary cross-entropy with logit loss",#VALUE!,"Student-knowledge correct rate, student-knowledge average time, student-knowledge attempts, time since last knowledge attempt, student overall correct rate, student overall average time, student total attempts, time since last question, knowledge correct rate, knowledge average time, knowledge total attempts, question correct rate, question average time, question total attempts.",AUC,"""To process the sparse data, the one-hot encoding data will be reduced to
low-dimensional representation through embedding""",No,"They explicitly note that they employ SHAP for feature-level interpretability (�the importance and contribution of each feature�), meaning they examine how each input feature pushes the prediction higher or lower.

They stress how these per-sample SHAP explanations enable understanding of why the model predicts a certain way for each question�giving teachers or systems a process-level view (�the journey�), rather than merely a final probability of skill mastery.",Attentive
12,,2023,CAKT: Coupling contrastive learning with attention networks for interpretable knowledge tracing,Shuaishuai Zu; Li Li; Jun Shen; C Cetinkaya; MF Kaiser; L Ripperger; T Schaefer,China,conference,Sequences of questions and asnwers,"IRT,PFA,DKT,DKVMN,Deep-IRT,SAKT,AKT

CAKT: attention-based encoders and IRT model","
- ASSIST2009
- ASSIST2015
- ASSIST2017
- Span",Sequences of questions and asnwers,AUC,No,"in the first time stamps, it predicts 0% but in this paper (CAKT: Coupling contrastive learning with attention networks for interpretable knowledge tracing), in the first time stamps, it predicts 50% (guessing)","Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap",Attentive
13,10.3390/app13042541,2023,Calibrated Q-Matrix-Enhanced Deep Knowledge Tracing with Relational Attention Mechanism,Linqing Li; Zhifeng Wang; M Pinnow; A Ball; B Pniewski; M Holtmann,China,Journal,"The input features for the model include exercise-related information, student responses (correct or incorrect), time of interaction, and corresponding knowledge vectors. These are structured as tuples for each interaction: (exercise attempted, response, time).","�a knowledge tracing method called the relational attention knowledge tracing model (RAKT)�, �an extension model of RAKT is called the Calibrated Q-matrix relational attention knowledge tracing model (QRAKT)�, and describe �Algorithm: Hierarchical knowledge-level-based calibration method (HKLQC)�","ASSIST2012: 39,364 participants
Eedi: 2064","The input features for the model include exercise-related information, student responses (correct or incorrect), time of interaction, and corresponding knowledge vectors. These are structured as tuples for each interaction: (exercise attempted, response, time).","AUC, ACC",No,"They present it via heatmaps

""Compared with the DKT model, the DKT+ model as the extension of the DKT model solved the reconstruction problem and the wavy transition problem in the DKT model to track the student�s mastery level.""",No,Graph-Based
14,10.1145/3394486.3403282,2020,Context-Aware Attentive Knowledge Tracing,"Ghosh, A.; Heffernan, N.; Lan, A. S.; Balapriya, C.",USA,Conference,"Real-valued embedding vectors representing questions and question-response pairs, including Rasch model-based embeddings, are used as input features. These embeddings are transformed into context-aware representations by self-attentive encoders.","Attentive Knowledge Tracing (AKT), Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Networks (DKVMN), Self-Attentive Knowledge Tracing (SAKT), DKT+, DKVMN-R","ASSISTments2009, ASSISTments2015, ASSISTments2017, and Statics2011
Statics2011 has 333 learners, ASSISTments2017 has 1,709 learners, ASSISTments2015 has 19,840 learners, ASSISTments2009 has 4, 151 learners","Real-valued embedding vectors representing questions and question-response pairs, including Rasch model-based embeddings, are used as input features. These embeddings are transformed into context-aware representations by self-attentive encoders.",AUC,No,"Uses heatmaps to visualize attention weights in the AKT model, showing how past responses influence current predictions.

""We see that AKT predicts their response to the current question by focusing more on previous practices on this concept (both in the immediate past and further back) than practices on another concept also in the immediate past""",No,Attentive
15,,2022,DCKT: A Novel Dual-Centric Learning Model for Knowledge Tracing,Yixuan Chen; Shuang Wang; Fan Jiang; Yaxin Tu; Qionghao Huang,China,journal,"concepts, questions, answers, and interactions","graph neural network with edge multilayer perceptron (GNN-MLP) + Transformer

DKT,DKVMN,SAKT,CKT,AKT","- ASSIST2009
- ASSIST2012
- ASSIST2015
- ASSISTChall","concepts, questions, answers, and interactions",AUC,No,"the learner practiced questions corresponding to the same concept c50 in time steps 10 and 12�17. Still, all were answered wrongly, mainly due to the forgetting effect resulting from multiple intervals before reviewing concept c50. In contrast, DCKT produces lower probabilities for these questions, as the forgetting-fusion transformer enables it to extract the forgetting features of human memory",No,Attentive
